,No.,Player,PronounsMere Info  PronounsInterested in learning more about pronouns? Click here.,Position,Year,Height,Points,Assists,Ds,Turns,team_name,level,gender,division
14,20,Sydney Tellis,,,,,2.0,,,3.0,Richmond,Division 3,Women,Division 3 Women
15,21,Luiza Pessoa,S,,,,2.0,1.0,,8.0,Richmond,Division 3,Women,Division 3 Women
16,22,Ruby Wallach,,,,,,,,2.0,Richmond,Division 3,Women,Division 3 Women
17,23,Ellie Jellema-Harter,,,,,3.0,,3.0,3.0,Richmond,Division 3,Women,Division 3 Women
18,25,Sophie Rosenstein,,,,,,,1.0,4.0,Richmond,Division 3,Women,Division 3 Women
19,30,Lillyan Robertson,,,,,1.0,1.0,1.0,1.0,Richmond,Division 3,Women,Division 3 Women
20,31,Jillian Eldridge,,,,,3.0,1.0,3.0,4.0,Richmond,Division 3,Women,Division 3 Women
21,35,Genesis Meadows,S,,,,,5.0,5.0,17.0,Richmond,Division 3,Women,Division 3 Women
0,2,Olivia Davis,,,,"5'0""",7.0,2.0,2.0,3.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
1,5,Camille MacKenzie,S,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
2,8,Avery Hyde,S,,,,,,1.0,4.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
3,10,Ella Evans,S,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
4,13,Eleanor Wheeler,,,,,5.0,1.0,,1.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
5,15,Grace King,S,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
6,17,Alexandra Lederman,S,,,,2.0,,,3.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
7,18,Madeleine Kruckemeyer,S,,,,1.0,1.0,2.0,2.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
8,19,Audrey Hinsdale,,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
9,21,Malin Thomas,,,,,,,,1.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
10,22,Aimee Crozat,,,,,1.0,,,1.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
11,23,Sonia Nicholson,S,,,,4.0,2.0,2.0,5.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
12,24,Celia Nicholson,S/T,,,,5.0,1.0,,10.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
13,26,Anja Kottmann,,,,,5.0,1.0,4.0,6.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
14,29,Rebecca Flax,,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
15,30,Anya Regaignon,,Cutter,College (FR),"5'8""",,,,2.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
16,31,Phoebe Hulbert,,,,,1.0,5.0,4.0,9.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
17,32,Leo Merleaux,T,,,,1.0,1.0,1.0,2.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
18,33,Clara Morton,S,,,,1.0,16.0,8.0,32.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
19,42,Anna Roth,S,,College (SO),"5'11""",1.0,,2.0,1.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
20,43,Lila Chanas,S,,College (FR),"5'4""",,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
21,45,Zoe Costanza,S,,,,18.0,19.0,16.0,28.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
22,47,Anna Bingham,,,Elementary School (3rd grade),"6'0""",3.0,,,2.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
23,55,Ava Purser,,,,,,,,,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
24,58,Ashe Tanemura,T,,,,5.0,1.0,1.0,4.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
25,64,Erica Collin,,,,,5.0,12.0,10.0,8.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
26,66,Rufus Helmreich,,,,,12.0,13.0,17.0,28.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
27,67,Emma Doty,,,,,,1.0,3.0,3.0,Haverford/Bryn Mawr,Division 3,Women,Division 3 Women
0,3,Sophia Stender,S,,,,3.0,2.0,5.0,5.0,St Olaf,Division 3,Women,Division 3 Women
1,4,Kayla Wengelewski,,,,,,,2.0,4.0,St Olaf,Division 3,Women,Division 3 Women
2,5,Antigone Van Slooten,,,College (FR),"5'11""",1.0,,1.0,2.0,St Olaf,Division 3,Women,Division 3 Women
3,7,Olive Loewer,,,,,,,1.0,4.0,St Olaf,Division 3,Women,Division 3 Women
4,9,Sadie Smith,,,,,1.0,,1.0,2.0,St Olaf,Division 3,Women,Division 3 Women
5,10,Grace Milhaupt,S,,,,9.0,13.0,7.0,27.0,St Olaf,Division 3,Women,Division 3 Women
6,11,Leina Goto,S,Handler/Cutter,College (SR),"5'8""",9.0,12.0,7.0,45.0,St Olaf,Division 3,Women,Division 3 Women
7,13,Sarah Heinecke,,,,,1.0,1.0,,8.0,St Olaf,Division 3,Women,Division 3 Women
8,16,Eliana Idzikowski,S/T,Cutter,College (FR),"5'1""",,,,1.0,St Olaf,Division 3,Women,Division 3 Women
9,18,Kaisa Olson,,Cutter,,,2.0,1.0,,4.0,St Olaf,Division 3,Women,Division 3 Women
10,19,Julia Mockert,S,,,"5'5""",1.0,7.0,4.0,16.0,St Olaf,Division 3,Women,Division 3 Women
11,20,Mary Polydorou,S,,,,,,,,St Olaf,Division 3,Women,Division 3 Women
12,22,Sarah Lester,S,,,,7.0,4.0,2.0,9.0,St Olaf,Division 3,Women,Division 3 Women
13,23,Maggie Walsh,,Cutter,,,6.0,4.0,4.0,17.0,St Olaf,Division 3,Women,Division 3 Women
14,25,Linnea Erickson,,,,,4.0,,2.0,4.0,St Olaf,Division 3,Women,Division 3 Women
15,27,Alexia Swiglo,S,Handler,College (FR),"5'9""",,1.0,1.0,,St Olaf,Division 3,Women,Division 3 Women
16,32,Emma Jansen,,,,,3.0,,3.0,16.0,St Olaf,Division 3,Women,Division 3 Women
17,37,Char Batchelor,,Cutter,,,4.0,6.0,3.0,16.0,St Olaf,Division 3,Women,Division 3 Women
18,53,Weihsin Chuan,S,,,,1.0,,2.0,1.0,St Olaf,Division 3,Women,Division 3 Women
19,87,Rachel Katzovitz,,,,,5.0,5.0,2.0,11.0,St Olaf,Division 3,Women,Division 3 Women
0,0,Izzy Quattrucci,,Handler/Cutter,College (GR),"5'4""",,1.0,1.0,9.0,Lewis & Clark,Division 3,Women,Division 3 Women
1,2,Allison Ryan,S,,,,1.0,2.0,1.0,9.0,Lewis & Clark,Division 3,Women,Division 3 Women
2,4,Maria Lee,,,,,,,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
3,5,Georgia Corson,T,,College (SO),,1.0,1.0,2.0,7.0,Lewis & Clark,Division 3,Women,Division 3 Women
4,8,Zoe Lang,,,,,,,1.0,,Lewis & Clark,Division 3,Women,Division 3 Women
5,11,Mette Peluce,,,,,,,1.0,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
6,12,Nahlah Mkaouri,,Handler/Cutter,College (SO),"5'5""",2.0,1.0,4.0,10.0,Lewis & Clark,Division 3,Women,Division 3 Women
7,13,Katelyn Osborne,S,Handler/Cutter,College (FR),"5'5""",15.0,9.0,11.0,30.0,Lewis & Clark,Division 3,Women,Division 3 Women
8,15,Emily Larabee,,Handler/Cutter,,,2.0,2.0,3.0,13.0,Lewis & Clark,Division 3,Women,Division 3 Women
9,17,Mira Larrance,,Handler,,,2.0,5.0,6.0,23.0,Lewis & Clark,Division 3,Women,Division 3 Women
10,18,Calista Aragon,S,Cutter,,,4.0,1.0,2.0,7.0,Lewis & Clark,Division 3,Women,Division 3 Women
11,19,Hazel Morton,S,,,,,,,,Lewis & Clark,Division 3,Women,Division 3 Women
12,20,Suzie Myles,S/T,Handler,College (SO),"5'8""",,,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
13,22,Scarlett Deveno,,Cutter,,,,,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
14,23,Estelle Campana,,,,,,,,,Lewis & Clark,Division 3,Women,Division 3 Women
15,27,Tova Benson,S,Cutter,,,1.0,,1.0,3.0,Lewis & Clark,Division 3,Women,Division 3 Women
16,28,Lilah Shapiro,,,College (SR),"5'4""",1.0,,1.0,,Lewis & Clark,Division 3,Women,Division 3 Women
17,29,Amelie Steer,,Handler,College (FR),"10'0""",2.0,14.0,4.0,20.0,Lewis & Clark,Division 3,Women,Division 3 Women
18,30,Rosa Rudolph,S,,Elementary School (K),"5'9""",6.0,2.0,3.0,11.0,Lewis & Clark,Division 3,Women,Division 3 Women
19,31,Madeline Fealy,,,,,,,,4.0,Lewis & Clark,Division 3,Women,Division 3 Women
20,33,Greta Wilbur,T,Handler/Cutter,College (SO),"5'4""",,1.0,,8.0,Lewis & Clark,Division 3,Women,Division 3 Women
21,34,Janie Gehrenbeck-Miller,S,,,,3.0,3.0,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
22,36,Erin Ries-Juncker,,Cutter,,,,,,,Lewis & Clark,Division 3,Women,Division 3 Women
23,38,Anika Alschuler,,,,,2.0,4.0,2.0,13.0,Lewis & Clark,Division 3,Women,Division 3 Women
24,42,Lily Cahill,S,Cutter,,,,,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
25,51,Ellie Crema,,Cutter,College (FR),"5'5""",,,,,Lewis & Clark,Division 3,Women,Division 3 Women
26,63,Kaia O’Neill,S/T,Cutter,College (SO),"5'9""",,,1.0,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
27,77,Mikah Keetch,T,Cutter,College (JR),"5'4""",3.0,4.0,7.0,23.0,Lewis & Clark,Division 3,Women,Division 3 Women
28,80,Annika Shinoda,,,,,,,,,Lewis & Clark,Division 3,Women,Division 3 Women
29,84,Maddie Furr,,,,,,,,1.0,Lewis & Clark,Division 3,Women,Division 3 Women
30,85,Rachel Abrahams,S,Handler/Cutter,,"5'2""",,,1.0,4.0,Lewis & Clark,Division 3,Women,Division 3 Women
31,97,Presten Berg,,,College (SO),"5'5""",7.0,3.0,9.0,9.0,Lewis & Clark,Division 3,Women,Division 3 Women
0,2,Alice Owens,S,,College (FR),"5'4""",4.0,8.0,8.0,27.0,Rice,Division 3,Women,Division 3 Women
1,3,Sofie Rose Payne,S,,,,,,,,Rice,Division 3,Women,Division 3 Women
2,6,Natalia Perey,S,,,,1.0,1.0,2.0,6.0,Rice,Division 3,Women,Division 3 Women
3,7,Emma Rathgeber,,,,,,,,3.0,Rice,Division 3,Women,Division 3 Women
4,14,Sophia Figueroa,,,,,6.0,10.0,6.0,40.0,Rice,Division 3,Women,Division 3 Women
5,17,Isabella Baker,,,,,8.0,4.0,10.0,21.0,Rice,Division 3,Women,Division 3 Women
6,18,Astrid Allen,,,,"5'9""",5.0,,1.0,3.0,Rice,Division 3,Women,Division 3 Women
7,19,Lily Qin,,,,,1.0,,,2.0,Rice,Division 3,Women,Division 3 Women
8,21,Radhiya Bharmal,,,,,3.0,1.0,4.0,15.0,Rice,Division 3,Women,Division 3 Women
9,22,Annika Bhananker,,,,,1.0,,1.0,6.0,Rice,Division 3,Women,Division 3 Women
10,24,Dori Olson,,,,,9.0,,3.0,2.0,Rice,Division 3,Women,Division 3 Women
11,27,Xintong Su,S,,,,1.0,1.0,,12.0,Rice,Division 3,Women,Division 3 Women
12,38,Emma Sjodin,,,,,,,3.0,1.0,Rice,Division 3,Women,Division 3 Women
13,76,Callista Baker,,,,,1.0,6.0,9.0,40.0,Rice,Division 3,Women,Division 3 Women
14,91,Ria Stevens,S,,,,3.0,14.0,29.0,76.0,Rice,Division 3,Women,Division 3 Women
0,0,Cece Rhyneer,,Defense (Cutter),,,2.0,4.0,2.0,2.0,Middlebury,Division 3,Women,Division 3 Women
1,2,Kaia Ganzell,,,,,4.0,,2.0,3.0,Middlebury,Division 3,Women,Division 3 Women
2,3,Sasha Hanna,,,,,8.0,,3.0,3.0,Middlebury,Division 3,Women,Division 3 Women
3,4,Lucy VanNewkirk,,Dump,,,21.0,9.0,15.0,18.0,Middlebury,Division 3,Women,Division 3 Women
4,6,Liz Crawford,S,Mid,Elementary School (1st grade),,6.0,4.0,4.0,10.0,Middlebury,Division 3,Women,Division 3 Women
5,7,Ella Widmyer,S,Handler,High School (12th Grade),"5'5""",3.0,27.0,6.0,38.0,Middlebury,Division 3,Women,Division 3 Women
6,11,Yijie Li,,,,,,,,,Middlebury,Division 3,Women,Division 3 Women
7,12,Sarah Capute,,,,,10.0,2.0,1.0,2.0,Middlebury,Division 3,Women,Division 3 Women
8,13,Agnes Heffner,,,,,5.0,1.0,2.0,1.0,Middlebury,Division 3,Women,Division 3 Women
9,14,Izzy Laramee,,,,,1.0,,4.0,3.0,Middlebury,Division 3,Women,Division 3 Women
10,16,Molly Snow,,Cutter,,,,1.0,,2.0,Middlebury,Division 3,Women,Division 3 Women
11,18,Amelia Hayward,,,,,1.0,,,,Middlebury,Division 3,Women,Division 3 Women
12,20,Nicoletta Coupe,,,,,,,2.0,2.0,Middlebury,Division 3,Women,Division 3 Women
13,21,Hazel Stringer,S,,,,,1.0,,,Middlebury,Division 3,Women,Division 3 Women
14,22,Ruby Salisbury,,,,"5'10""",,8.0,9.0,13.0,Middlebury,Division 3,Women,Division 3 Women
15,24,Freya Rich,S,,,,,2.0,,11.0,Middlebury,Division 3,Women,Division 3 Women
16,27,Tessa Marker,,,,,1.0,,4.0,2.0,Middlebury,Division 3,Women,Division 3 Women
17,28,Celeste Alden,S,Handler,,,1.0,4.0,3.0,7.0,Middlebury,Division 3,Women,Division 3 Women
18,44,Lilia Klingler,,,,,,,2.0,4.0,Middlebury,Division 3,Women,Division 3 Women
19,64,Lily Weissman,,,,,,,,4.0,Middlebury,Division 3,Women,Division 3 Women
20,69,Makenna Bachman,,,,,2.0,1.0,2.0,5.0,Middlebury,Division 3,Women,Division 3 Women
21,99,Molly Kaplan,S,,,,,,,1.0,Middlebury,Division 3,Women,Division 3 Women
0,1,Sadie Begtrup,S,Handler,College (FR),"5'8""",1.0,2.0,,2.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
1,2,Natalie Lang-Ree,S,Cutter,,,3.0,3.0,3.0,11.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
2,3,Laura Boyd,,Handler/Cutter,,,3.0,1.0,2.0,3.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
3,4,Zaraya Jordan,,Cutter,,,3.0,,4.0,3.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
4,6,Caroline Cooper,S,Handler,College (SO),"5'8""",,,,6.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
5,7,Lisa Li,,Cutter,,,2.0,3.0,4.0,2.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
6,8,Pilar Andruet,S,Cutter,,,2.0,,8.0,2.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
7,9,Elizabeth Swanson,S,Cutter,,"5'5""",7.0,3.0,5.0,6.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
8,10,Maddy Brown,,Cutter,,,7.0,7.0,5.0,14.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
9,11,Sadie Eskola,,Handler,,,1.0,2.0,3.0,3.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
10,12,Zoe Marquis,S/T,Cutter,,,1.0,6.0,5.0,21.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
11,15,Molly Horstman Olson,,Handler,Elementary School (4th grade),,2.0,7.0,3.0,17.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
12,19,Eve Mullen,,Cutter,,,2.0,,1.0,7.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
13,20,Grace Prince,,Handler,,,2.0,2.0,3.0,13.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
14,22,Alyssa Alvarez,S,Cutter,,,,,,,Carleton College-Eclipse,Division 3,Women,Division 3 Women
15,23,Kyla Christie,,Handler,,,7.0,7.0,1.0,13.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
16,27,Sasha Monks,,Handler,,,2.0,1.0,1.0,3.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
17,29,Monarch Kelly,S,Cutter,College (SR),"6'4""",7.0,6.0,6.0,5.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
18,32,Amy McCormack,S,Cutter,College (FR),"5'2""",2.0,,3.0,3.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
19,33,Frankie Saraniti,S,Cutter,,,10.0,9.0,13.0,19.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
20,35,Rachel Poppleton,S,Cutter,,,1.0,2.0,3.0,5.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
21,44,Rebecca Hazen,,Cutter,,,2.0,7.0,2.0,9.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
22,55,Charlotte Gingo,,Cutter,,,2.0,1.0,3.0,9.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
23,66,Alma Rucker,S,Handler,High School (12th Grade),"5'6""",1.0,,2.0,2.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
24,73,Minglu Zhang,S,Handler,College (FR),,2.0,,,6.0,Carleton College-Eclipse,Division 3,Women,Division 3 Women
0,1,Olivia Mueth,,,,,,,,6.0,Union (Tennessee),Division 3,Women,Division 3 Women
1,3,Emily Gray,,Cutter,,,,,,,Union (Tennessee),Division 3,Women,Division 3 Women
2,4,Sarah Skinner,,Cutter,College (SO),"5'5""",,,,5.0,Union (Tennessee),Division 3,Women,Division 3 Women
3,6,Lindsey Dismuke,,,,,1.0,,,1.0,Union (Tennessee),Division 3,Women,Division 3 Women
4,7,Lindsey Norwood,,Cutter,,,2.0,2.0,3.0,17.0,Union (Tennessee),Division 3,Women,Division 3 Women
5,8,Kelsi Jones,,,,,7.0,3.0,5.0,10.0,Union (Tennessee),Division 3,Women,Division 3 Women
6,11,Averie Gundy,,Cutter,,,3.0,,3.0,5.0,Union (Tennessee),Division 3,Women,Division 3 Women
7,12,Deborah Lancaster,,,,,,,,8.0,Union (Tennessee),Division 3,Women,Division 3 Women
8,13,Caroline Lukasick,,Cutter,,,,1.0,,3.0,Union (Tennessee),Division 3,Women,Division 3 Women
9,15,Rylie Feltner,,,,,3.0,,3.0,25.0,Union (Tennessee),Division 3,Women,Division 3 Women
10,16,Anna Forbes,,,,,11.0,6.0,10.0,19.0,Union (Tennessee),Division 3,Women,Division 3 Women
11,17,Alana Kelley,,Cutter,,,,,,,Union (Tennessee),Division 3,Women,Division 3 Women
12,18,Grace Dominguez,,,,,,,,3.0,Union (Tennessee),Division 3,Women,Division 3 Women
13,20,Bryn Norton,,,,,3.0,1.0,7.0,13.0,Union (Tennessee),Division 3,Women,Division 3 Women
14,22,Anna Davidson,,,,,4.0,,7.0,5.0,Union (Tennessee),Division 3,Women,Division 3 Women
15,23,Hannah Chayse Watson,,Cutter,,,,,,,Union (Tennessee),Division 3,Women,Division 3 Women
16,24,Sarah Trouwborst,,Cutter,,,,5.0,1.0,39.0,Union (Tennessee),Division 3,Women,Division 3 Women
17,26,Amelia Thomas,,Cutter,,,,1.0,2.0,7.0,Union (Tennessee),Division 3,Women,Division 3 Women
18,27,MollieKay Grubbs,,Cutter,,,4.0,16.0,8.0,49.0,Union (Tennessee),Division 3,Women,Division 3 Women
19,33,Martha McCreary,,,,,1.0,,2.0,1.0,Union (Tennessee),Division 3,Women,Division 3 Women
20,35,Sarah Wood,,,,,,,2.0,6.0,Union (Tennessee),Division 3,Women,Division 3 Women
21,55,Ava Floyd,,Cutter,,,1.0,3.0,4.0,7.0,Union (Tennessee),Division 3,Women,Division 3 Women
0,1,Emma Smith,,,College (GR),"5'2""",9.0,2.0,7.0,7.0,Puget Sound,Division 3,Women,Division 3 Women
1,4,Hayes Freeman,,Handler/Cutter,,,5.0,13.0,11.0,43.0,Puget Sound,Division 3,Women,Division 3 Women
2,5,Lilia Yatskowitz,S,,,,5.0,6.0,3.0,27.0,Puget Sound,Division 3,Women,Division 3 Women
3,8,Elena Sjaastad,,,,,,,4.0,2.0,Puget Sound,Division 3,Women,Division 3 Women
4,11,Naomi Wurtzel,S,Handler,College (SO),"5'3""",1.0,3.0,4.0,21.0,Puget Sound,Division 3,Women,Division 3 Women
5,13,Audrey Hamilton,S,,,,2.0,,2.0,3.0,Puget Sound,Division 3,Women,Division 3 Women
6,16,Kendall Odell,S/T,Cutter,,,2.0,1.0,3.0,4.0,Puget Sound,Division 3,Women,Division 3 Women
7,20,Paprika Indresano,,,,,2.0,,2.0,5.0,Puget Sound,Division 3,Women,Division 3 Women
8,21,Amity Humphrey,,,,,2.0,1.0,4.0,12.0,Puget Sound,Division 3,Women,Division 3 Women
9,23,Claire Bargman,S,,,,7.0,6.0,13.0,41.0,Puget Sound,Division 3,Women,Division 3 Women
10,24,Olivia Ash,S,,,,,,4.0,14.0,Puget Sound,Division 3,Women,Division 3 Women
11,25,Luna Wagner,S,Handler/Cutter,,,,2.0,4.0,13.0,Puget Sound,Division 3,Women,Division 3 Women
12,26,Savannah Cobb,,Cutter,College (SO),"5'4""",,2.0,2.0,8.0,Puget Sound,Division 3,Women,Division 3 Women
13,30,Erin Hurley,S,Cutter,,,1.0,,,,Puget Sound,Division 3,Women,Division 3 Women
0,0,Olivia Napadensky,,,,,9.0,2.0,1.0,6.0,Whitman,Division 3,Women,Division 3 Women
1,2,Anja Floisand,S,,High School (12th Grade),"5'4""",,6.0,3.0,18.0,Whitman,Division 3,Women,Division 3 Women
2,3,Dora Trinkle,S,,,,,1.0,1.0,2.0,Whitman,Division 3,Women,Division 3 Women
3,4,Ollie Fox,H/T,,,,5.0,6.0,6.0,7.0,Whitman,Division 3,Women,Division 3 Women
4,6,Wyatt Albright,S,,,,6.0,,4.0,3.0,Whitman,Division 3,Women,Division 3 Women
5,7,Julia Hanson,S,Handler/Cutter,,,2.0,6.0,5.0,12.0,Whitman,Division 3,Women,Division 3 Women
6,8,Ashley Hagen,,,High School (10th Grade),"5'4""",1.0,,5.0,9.0,Whitman,Division 3,Women,Division 3 Women
7,9,Juliette Silvers,,,,,,4.0,2.0,3.0,Whitman,Division 3,Women,Division 3 Women
8,11,Katherine Campbell,,Handler/Cutter,High School (12th Grade),"5'9""",3.0,12.0,5.0,14.0,Whitman,Division 3,Women,Division 3 Women
9,12,Nadja Goldberg,T,,,,1.0,,,,Whitman,Division 3,Women,Division 3 Women
10,13,Erin Magnuson,,,,,6.0,,1.0,4.0,Whitman,Division 3,Women,Division 3 Women
11,16,Isabel DeBoer,,,,,,,,2.0,Whitman,Division 3,Women,Division 3 Women
12,17,Stella Vranes,,,,,2.0,,4.0,2.0,Whitman,Division 3,Women,Division 3 Women
13,19,Tatum Huegel,,,,,3.0,,1.0,2.0,Whitman,Division 3,Women,Division 3 Women
14,20,Ingrid Noren,,,,,2.0,2.0,8.0,8.0,Whitman,Division 3,Women,Division 3 Women
15,21,Lucy Brown,,,,,2.0,,,1.0,Whitman,Division 3,Women,Division 3 Women
16,22,Josephine Bygrave,,,High School (11th Grade),"5'3""",7.0,6.0,3.0,4.0,Whitman,Division 3,Women,Division 3 Women
17,23,Joanna (Joey) Biehl,,Handler,College (JR),"5'2""",,9.0,3.0,13.0,Whitman,Division 3,Women,Division 3 Women
18,27,Gabbie Campbell,S,Handler,College (FR),"5'7""",4.0,10.0,11.0,21.0,Whitman,Division 3,Women,Division 3 Women
19,28,Ella Johnson,S,,,,,1.0,,1.0,Whitman,Division 3,Women,Division 3 Women
20,34,Hahna Beaudoin,,,,,,,2.0,2.0,Whitman,Division 3,Women,Division 3 Women
21,39,Sarah White,,,,,2.0,1.0,,2.0,Whitman,Division 3,Women,Division 3 Women
22,44,Caroline Gorham Siegler,,,,,,,,,Whitman,Division 3,Women,Division 3 Women
23,49,Madeleina Shear,S,,,,3.0,,,,Whitman,Division 3,Women,Division 3 Women
24,63,Leah Uhlman,S,,College (SO),"5'0""",5.0,2.0,5.0,3.0,Whitman,Division 3,Women,Division 3 Women
25,77,Allee Garver,S,,,,5.0,1.0,6.0,6.0,Whitman,Division 3,Women,Division 3 Women
0,4,Caroline Sullivan,,Dump,Elementary School (1st grade),"5'8""",,,,1.0,Kenyon,Division 3,Women,Division 3 Women
1,6,Mariah Szabo,,,,,,,2.0,2.0,Kenyon,Division 3,Women,Division 3 Women
2,8,Kaley Johnson,S,Handler/Cutter,Elementary School (K),"8'0""",13.0,4.0,13.0,20.0,Kenyon,Division 3,Women,Division 3 Women
3,10,Sadie Clark,S/T,Handler,College (SO),"5'8""",,13.0,8.0,42.0,Kenyon,Division 3,Women,Division 3 Women
4,11,Evelyn Holzhall,S,,,,1.0,1.0,1.0,3.0,Kenyon,Division 3,Women,Division 3 Women
5,13,Will Johnson,T,Deep,College (JR),,,18.0,6.0,61.0,Kenyon,Division 3,Women,Division 3 Women
6,15,Cameron McCaleb,,,,,2.0,,1.0,12.0,Kenyon,Division 3,Women,Division 3 Women
7,16,Eli Allan,T,,,,,,1.0,13.0,Kenyon,Division 3,Women,Division 3 Women
8,19,Clementine Muir,,,,,,,1.0,1.0,Kenyon,Division 3,Women,Division 3 Women
9,21,Catelin Bromfield,,,,,,,,,Kenyon,Division 3,Women,Division 3 Women
10,26,Sabine Manske,,,,,1.0,,2.0,,Kenyon,Division 3,Women,Division 3 Women
11,27,Abigail Warshauer,S,,,,1.0,,3.0,3.0,Kenyon,Division 3,Women,Division 3 Women
12,30,Ella Salvino,,,,,1.0,,,,Kenyon,Division 3,Women,Division 3 Women
13,33,Molly Hunt,S,,,,1.0,2.0,4.0,2.0,Kenyon,Division 3,Women,Division 3 Women
14,34,Johanna Huelsman,,,,,6.0,,6.0,6.0,Kenyon,Division 3,Women,Division 3 Women
15,35,Catie Selden,,,,,1.0,,2.0,3.0,Kenyon,Division 3,Women,Division 3 Women
16,37,Margaret Anne Doran,S,,,,,2.0,,9.0,Kenyon,Division 3,Women,Division 3 Women
17,38,Cecilia Oshins,,,,,,,1.0,1.0,Kenyon,Division 3,Women,Division 3 Women
18,42,Ellen Chadwick,,,,,7.0,,9.0,7.0,Kenyon,Division 3,Women,Division 3 Women
19,43,Gwyn Kelley,S,,,,7.0,3.0,12.0,34.0,Kenyon,Division 3,Women,Division 3 Women
20,45,Kate Tucker,,,,,1.0,,1.0,2.0,Kenyon,Division 3,Women,Division 3 Women
21,73,Audrey Gibson,S/T,,,,2.0,2.0,7.0,7.0,Kenyon,Division 3,Women,Division 3 Women
22,87,Maria Peacock,,,,,3.0,,3.0,6.0,Kenyon,Division 3,Women,Division 3 Women
0,0,Elizabeth Voorhees,,Dump,,,,,1.0,2.0,Rochester,Division 3,Women,Division 3 Women
1,3,Jenna Kwak,,Dump,,,10.0,7.0,8.0,15.0,Rochester,Division 3,Women,Division 3 Women
2,4,Kaylie McGuckin,,,,,8.0,1.0,4.0,10.0,Rochester,Division 3,Women,Division 3 Women
3,5,Flora Bradley,,,,,6.0,1.0,6.0,13.0,Rochester,Division 3,Women,Division 3 Women
4,6,Chloe Milliman,,,,,1.0,1.0,3.0,7.0,Rochester,Division 3,Women,Division 3 Women
5,7,Puck Moser,T,Dump,,,1.0,3.0,4.0,12.0,Rochester,Division 3,Women,Division 3 Women
6,9,Marlena Berger,,Handler,College (FR),"5'8""",4.0,13.0,5.0,20.0,Rochester,Division 3,Women,Division 3 Women
7,11,Raina Guay,,Dump,,,,6.0,4.0,24.0,Rochester,Division 3,Women,Division 3 Women
